x = 0, y = 0, z = 0, result = 0.5000000000
x = 1, y = 0, z = 0, result = 0.0000000000
x = 2, y = 0, z = 0, result = 0.0000000000
x = 3, y = 0, z = 0, result = 0.0000000000
x = 4, y = 0, z = 0, result = 0.0000000000
x = 5, y = 0, z = 0, result = 0.0000000000
x = 6, y = 0, z = 0, result = 0.5000000000
x = 0, y = 1, z = 0, result = 0.0000000000
x = 1, y = 1, z = 0, result = 0.2638888889
x = 2, y = 1, z = 0, result = 0.3009259259
x = 3, y = 1, z = 0, result = 0.3055555556
x = 4, y = 1, z = 0, result = 0.3009259259
x = 5, y = 1, z = 0, result = 0.2638888889
x = 6, y = 1, z = 0, result = 0.0000000000
x = 0, y = 2, z = 0, result = 0.0000000000
x = 1, y = 2, z = 0, result = 0.3009259259
x = 2, y = 2, z = 0, result = 0.3472222222
x = 3, y = 2, z = 0, result = 0.3518518519
x = 4, y = 2, z = 0, result = 0.3472222222
x = 5, y = 2, z = 0, result = 0.3009259259
x = 6, y = 2, z = 0, result = 0.0000000000
x = 0, y = 3, z = 0, result = 0.0000000000
x = 1, y = 3, z = 0, result = 0.3055555556
x = 2, y = 3, z = 0, result = 0.3518518519
x = 3, y = 3, z = 0, result = 0.3611111111
x = 4, y = 3, z = 0, result = 0.3518518519
x = 5, y = 3, z = 0, result = 0.3055555556
x = 6, y = 3, z = 0, result = 0.0000000000
x = 0, y = 4, z = 0, result = 0.0000000000
x = 1, y = 4, z = 0, result = 0.3009259259
x = 2, y = 4, z = 0, result = 0.3472222222
x = 3, y = 4, z = 0, result = 0.3518518519
x = 4, y = 4, z = 0, result = 0.3472222222
x = 5, y = 4, z = 0, result = 0.3009259259
x = 6, y = 4, z = 0, result = 0.0000000000
x = 0, y = 5, z = 0, result = 0.0000000000
x = 1, y = 5, z = 0, result = 0.2638888889
x = 2, y = 5, z = 0, result = 0.3009259259
x = 3, y = 5, z = 0, result = 0.3055555556
x = 4, y = 5, z = 0, result = 0.3009259259
x = 5, y = 5, z = 0, result = 0.2638888889
x = 6, y = 5, z = 0, result = 0.0000000000
x = 0, y = 6, z = 0, result = 0.5000000000
x = 1, y = 6, z = 0, result = 0.0000000000
x = 2, y = 6, z = 0, result = 0.0000000000
x = 3, y = 6, z = 0, result = 0.0000000000
x = 4, y = 6, z = 0, result = 0.0000000000
x = 5, y = 6, z = 0, result = 0.0000000000
x = 6, y = 6, z = 0, result = 0.5000000000
x = 0, y = 0, z = 1, result = 0.0000000000
x = 1, y = 0, z = 1, result = 0.2175925926
x = 2, y = 0, z = 1, result = 0.2870370370
x = 3, y = 0, z = 1, result = 0.3055555556
x = 4, y = 0, z = 1, result = 0.3055555556
x = 5, y = 0, z = 1, result = 0.3101851852
x = 6, y = 0, z = 1, result = 0.0000000000
x = 0, y = 1, z = 1, result = 0.2638888889
x = 1, y = 1, z = 1, result = 0.1342592593
x = 2, y = 1, z = 1, result = 0.1157407407
x = 3, y = 1, z = 1, result = 0.1111111111
x = 4, y = 1, z = 1, result = 0.1157407407
x = 5, y = 1, z = 1, result = 0.1435185185
x = 6, y = 1, z = 1, result = 0.2638888889
x = 0, y = 2, z = 1, result = 0.3009259259
x = 1, y = 2, z = 1, result = 0.1157407407
x = 2, y = 2, z = 1, result = 0.0740740741
x = 3, y = 2, z = 1, result = 0.0833333333
x = 4, y = 2, z = 1, result = 0.0740740741
x = 5, y = 2, z = 1, result = 0.1157407407
x = 6, y = 2, z = 1, result = 0.3009259259
x = 0, y = 3, z = 1, result = 0.3055555556
x = 1, y = 3, z = 1, result = 0.1111111111
x = 2, y = 3, z = 1, result = 0.0833333333
x = 3, y = 3, z = 1, result = 0.0647685185
x = 4, y = 3, z = 1, result = 0.0833333333
x = 5, y = 3, z = 1, result = 0.1111111111
x = 6, y = 3, z = 1, result = 0.3055555556
x = 0, y = 4, z = 1, result = 0.3009259259
x = 1, y = 4, z = 1, result = 0.1157407407
x = 2, y = 4, z = 1, result = 0.0740740741
x = 3, y = 4, z = 1, result = 0.0833333333
x = 4, y = 4, z = 1, result = 0.0740740741
x = 5, y = 4, z = 1, result = 0.1157407407
x = 6, y = 4, z = 1, result = 0.3009259259
x = 0, y = 5, z = 1, result = 0.2638888889
x = 1, y = 5, z = 1, result = 0.1342592593
x = 2, y = 5, z = 1, result = 0.1157407407
x = 3, y = 5, z = 1, result = 0.1111111111
x = 4, y = 5, z = 1, result = 0.1157407407
x = 5, y = 5, z = 1, result = 0.1435185185
x = 6, y = 5, z = 1, result = 0.2638888889
x = 0, y = 6, z = 1, result = 0.0000000000
x = 1, y = 6, z = 1, result = 0.2175925926
x = 2, y = 6, z = 1, result = 0.2870370370
x = 3, y = 6, z = 1, result = 0.3055555556
x = 4, y = 6, z = 1, result = 0.3055555556
x = 5, y = 6, z = 1, result = 0.3101851852
x = 6, y = 6, z = 1, result = 0.0000000000
x = 0, y = 0, z = 2, result = 0.0000000000
x = 1, y = 0, z = 2, result = 0.2453703704
x = 2, y = 0, z = 2, result = 0.3333333333
x = 3, y = 0, z = 2, result = 0.3518518519
x = 4, y = 0, z = 2, result = 0.3518518519
x = 5, y = 0, z = 2, result = 0.3564814815
x = 6, y = 0, z = 2, result = 0.0000000000
x = 0, y = 1, z = 2, result = 0.3009259259
x = 1, y = 1, z = 2, result = 0.1111111111
x = 2, y = 1, z = 2, result = 0.0740740741
x = 3, y = 1, z = 2, result = 0.0833333333
x = 4, y = 1, z = 2, result = 0.0740740741
x = 5, y = 1, z = 2, result = 0.1203703704
x = 6, y = 1, z = 2, result = 0.3009259259
x = 0, y = 2, z = 2, result = 0.3472222222
x = 1, y = 2, z = 2, result = 0.0740740741
x = 2, y = 2, z = 2, result = 0.0416666667
x = 3, y = 2, z = 2, result = 0.0091666667
x = 4, y = 2, z = 2, result = 0.0416666667
x = 5, y = 2, z = 2, result = 0.0740740741
x = 6, y = 2, z = 2, result = 0.3472222222
x = 0, y = 3, z = 2, result = 0.3518518519
x = 1, y = 3, z = 2, result = 0.0833333333
x = 2, y = 3, z = 2, result = 0.0091666667
x = 3, y = 3, z = 2, result = 0.0737962963
x = 4, y = 3, z = 2, result = 0.0091666667
x = 5, y = 3, z = 2, result = 0.0833333333
x = 6, y = 3, z = 2, result = 0.3518518519
x = 0, y = 4, z = 2, result = 0.3472222222
x = 1, y = 4, z = 2, result = 0.0740740741
x = 2, y = 4, z = 2, result = 0.0416666667
x = 3, y = 4, z = 2, result = 0.0091666667
x = 4, y = 4, z = 2, result = 0.0416666667
x = 5, y = 4, z = 2, result = 0.0740740741
x = 6, y = 4, z = 2, result = 0.3472222222
x = 0, y = 5, z = 2, result = 0.3009259259
x = 1, y = 5, z = 2, result = 0.1111111111
x = 2, y = 5, z = 2, result = 0.0740740741
x = 3, y = 5, z = 2, result = 0.0833333333
x = 4, y = 5, z = 2, result = 0.0740740741
x = 5, y = 5, z = 2, result = 0.1203703704
x = 6, y = 5, z = 2, result = 0.3009259259
x = 0, y = 6, z = 2, result = 0.0000000000
x = 1, y = 6, z = 2, result = 0.2453703704
x = 2, y = 6, z = 2, result = 0.3333333333
x = 3, y = 6, z = 2, result = 0.3518518519
x = 4, y = 6, z = 2, result = 0.3518518519
x = 5, y = 6, z = 2, result = 0.3564814815
x = 6, y = 6, z = 2, result = 0.0000000000
x = 0, y = 0, z = 3, result = 0.0000000000
x = 1, y = 0, z = 3, result = 0.2500000000
x = 2, y = 0, z = 3, result = 0.3379629630
x = 3, y = 0, z = 3, result = 0.3611111111
x = 4, y = 0, z = 3, result = 0.3564814815
x = 5, y = 0, z = 3, result = 0.3611111111
x = 6, y = 0, z = 3, result = 0.0000000000
x = 0, y = 1, z = 3, result = 0.3055555556
x = 1, y = 1, z = 3, result = 0.1064814815
x = 2, y = 1, z = 3, result = 0.0833333333
x = 3, y = 1, z = 3, result = 0.0647685185
x = 4, y = 1, z = 3, result = 0.0833333333
x = 5, y = 1, z = 3, result = 0.1157407407
x = 6, y = 1, z = 3, result = 0.3055555556
x = 0, y = 2, z = 3, result = 0.3518518519
x = 1, y = 2, z = 3, result = 0.0833333333
x = 2, y = 2, z = 3, result = 0.0091666667
x = 3, y = 2, z = 3, result = 0.0737962963
x = 4, y = 2, z = 3, result = 0.0091666667
x = 5, y = 2, z = 3, result = 0.0833333333
x = 6, y = 2, z = 3, result = 0.3518518519
x = 0, y = 3, z = 3, result = 0.3611111111
x = 1, y = 3, z = 3, result = 0.0647685185
x = 2, y = 3, z = 3, result = 0.0737962963
x = 3, y = 3, z = 3, result = -0.0019444444
x = 4, y = 3, z = 3, result = 0.0737962963
x = 5, y = 3, z = 3, result = 0.0647685185
x = 6, y = 3, z = 3, result = 0.3611111111
x = 0, y = 4, z = 3, result = 0.3518518519
x = 1, y = 4, z = 3, result = 0.0833333333
x = 2, y = 4, z = 3, result = 0.0091666667
x = 3, y = 4, z = 3, result = 0.0737962963
x = 4, y = 4, z = 3, result = 0.0091666667
x = 5, y = 4, z = 3, result = 0.0833333333
x = 6, y = 4, z = 3, result = 0.3518518519
x = 0, y = 5, z = 3, result = 0.3055555556
x = 1, y = 5, z = 3, result = 0.1064814815
x = 2, y = 5, z = 3, result = 0.0833333333
x = 3, y = 5, z = 3, result = 0.0647685185
x = 4, y = 5, z = 3, result = 0.0833333333
x = 5, y = 5, z = 3, result = 0.1157407407
x = 6, y = 5, z = 3, result = 0.3055555556
x = 0, y = 6, z = 3, result = 0.0000000000
x = 1, y = 6, z = 3, result = 0.2500000000
x = 2, y = 6, z = 3, result = 0.3379629630
x = 3, y = 6, z = 3, result = 0.3611111111
x = 4, y = 6, z = 3, result = 0.3564814815
x = 5, y = 6, z = 3, result = 0.3611111111
x = 6, y = 6, z = 3, result = 0.0000000000
x = 0, y = 0, z = 4, result = 0.0000000000
x = 1, y = 0, z = 4, result = 0.2453703704
x = 2, y = 0, z = 4, result = 0.3333333333
x = 3, y = 0, z = 4, result = 0.3518518519
x = 4, y = 0, z = 4, result = 0.3518518519
x = 5, y = 0, z = 4, result = 0.3564814815
x = 6, y = 0, z = 4, result = 0.0000000000
x = 0, y = 1, z = 4, result = 0.3009259259
x = 1, y = 1, z = 4, result = 0.1111111111
x = 2, y = 1, z = 4, result = 0.0740740741
x = 3, y = 1, z = 4, result = 0.0833333333
x = 4, y = 1, z = 4, result = 0.0740740741
x = 5, y = 1, z = 4, result = 0.1203703704
x = 6, y = 1, z = 4, result = 0.3009259259
x = 0, y = 2, z = 4, result = 0.3472222222
x = 1, y = 2, z = 4, result = 0.0740740741
x = 2, y = 2, z = 4, result = 0.0416666667
x = 3, y = 2, z = 4, result = 0.0091666667
x = 4, y = 2, z = 4, result = 0.0416666667
x = 5, y = 2, z = 4, result = 0.0740740741
x = 6, y = 2, z = 4, result = 0.3472222222
x = 0, y = 3, z = 4, result = 0.3518518519
x = 1, y = 3, z = 4, result = 0.0833333333
x = 2, y = 3, z = 4, result = 0.0091666667
x = 3, y = 3, z = 4, result = 0.0737962963
x = 4, y = 3, z = 4, result = 0.0091666667
x = 5, y = 3, z = 4, result = 0.0833333333
x = 6, y = 3, z = 4, result = 0.3518518519
x = 0, y = 4, z = 4, result = 0.3472222222
x = 1, y = 4, z = 4, result = 0.0740740741
x = 2, y = 4, z = 4, result = 0.0416666667
x = 3, y = 4, z = 4, result = 0.0091666667
x = 4, y = 4, z = 4, result = 0.0416666667
x = 5, y = 4, z = 4, result = 0.0740740741
x = 6, y = 4, z = 4, result = 0.3472222222
x = 0, y = 5, z = 4, result = 0.3009259259
x = 1, y = 5, z = 4, result = 0.1111111111
x = 2, y = 5, z = 4, result = 0.0740740741
x = 3, y = 5, z = 4, result = 0.0833333333
x = 4, y = 5, z = 4, result = 0.0740740741
x = 5, y = 5, z = 4, result = 0.1203703704
x = 6, y = 5, z = 4, result = 0.3009259259
x = 0, y = 6, z = 4, result = 0.0000000000
x = 1, y = 6, z = 4, result = 0.2453703704
x = 2, y = 6, z = 4, result = 0.3333333333
x = 3, y = 6, z = 4, result = 0.3518518519
x = 4, y = 6, z = 4, result = 0.3518518519
x = 5, y = 6, z = 4, result = 0.3564814815
x = 6, y = 6, z = 4, result = 0.0000000000
x = 0, y = 0, z = 5, result = 0.0000000000
x = 1, y = 0, z = 5, result = 0.2175925926
x = 2, y = 0, z = 5, result = 0.2870370370
x = 3, y = 0, z = 5, result = 0.3055555556
x = 4, y = 0, z = 5, result = 0.3055555556
x = 5, y = 0, z = 5, result = 0.3101851852
x = 6, y = 0, z = 5, result = 0.0000000000
x = 0, y = 1, z = 5, result = 0.2638888889
x = 1, y = 1, z = 5, result = 0.1342592593
x = 2, y = 1, z = 5, result = 0.1157407407
x = 3, y = 1, z = 5, result = 0.1111111111
x = 4, y = 1, z = 5, result = 0.1157407407
x = 5, y = 1, z = 5, result = 0.1435185185
x = 6, y = 1, z = 5, result = 0.2638888889
x = 0, y = 2, z = 5, result = 0.3009259259
x = 1, y = 2, z = 5, result = 0.1157407407
x = 2, y = 2, z = 5, result = 0.0740740741
x = 3, y = 2, z = 5, result = 0.0833333333
x = 4, y = 2, z = 5, result = 0.0740740741
x = 5, y = 2, z = 5, result = 0.1157407407
x = 6, y = 2, z = 5, result = 0.3009259259
x = 0, y = 3, z = 5, result = 0.3055555556
x = 1, y = 3, z = 5, result = 0.1111111111
x = 2, y = 3, z = 5, result = 0.0833333333
x = 3, y = 3, z = 5, result = 0.0647685185
x = 4, y = 3, z = 5, result = 0.0833333333
x = 5, y = 3, z = 5, result = 0.1111111111
x = 6, y = 3, z = 5, result = 0.3055555556
x = 0, y = 4, z = 5, result = 0.3009259259
x = 1, y = 4, z = 5, result = 0.1157407407
x = 2, y = 4, z = 5, result = 0.0740740741
x = 3, y = 4, z = 5, result = 0.0833333333
x = 4, y = 4, z = 5, result = 0.0740740741
x = 5, y = 4, z = 5, result = 0.1157407407
x = 6, y = 4, z = 5, result = 0.3009259259
x = 0, y = 5, z = 5, result = 0.2638888889
x = 1, y = 5, z = 5, result = 0.1342592593
x = 2, y = 5, z = 5, result = 0.1157407407
x = 3, y = 5, z = 5, result = 0.1111111111
x = 4, y = 5, z = 5, result = 0.1157407407
x = 5, y = 5, z = 5, result = 0.1435185185
x = 6, y = 5, z = 5, result = 0.2638888889
x = 0, y = 6, z = 5, result = 0.0000000000
x = 1, y = 6, z = 5, result = 0.2175925926
x = 2, y = 6, z = 5, result = 0.2870370370
x = 3, y = 6, z = 5, result = 0.3055555556
x = 4, y = 6, z = 5, result = 0.3055555556
x = 5, y = 6, z = 5, result = 0.3101851852
x = 6, y = 6, z = 5, result = 0.0000000000
x = 0, y = 0, z = 6, result = 0.5000000000
x = 1, y = 0, z = 6, result = 0.0000000000
x = 2, y = 0, z = 6, result = 0.0000000000
x = 3, y = 0, z = 6, result = 0.0000000000
x = 4, y = 0, z = 6, result = 0.0000000000
x = 5, y = 0, z = 6, result = 0.0000000000
x = 6, y = 0, z = 6, result = 0.5000000000
x = 0, y = 1, z = 6, result = 0.0000000000
x = 1, y = 1, z = 6, result = 0.2638888889
x = 2, y = 1, z = 6, result = 0.3009259259
x = 3, y = 1, z = 6, result = 0.3055555556
x = 4, y = 1, z = 6, result = 0.3009259259
x = 5, y = 1, z = 6, result = 0.2638888889
x = 6, y = 1, z = 6, result = 0.0000000000
x = 0, y = 2, z = 6, result = 0.0000000000
x = 1, y = 2, z = 6, result = 0.3009259259
x = 2, y = 2, z = 6, result = 0.3472222222
x = 3, y = 2, z = 6, result = 0.3518518519
x = 4, y = 2, z = 6, result = 0.3472222222
x = 5, y = 2, z = 6, result = 0.3009259259
x = 6, y = 2, z = 6, result = 0.0000000000
x = 0, y = 3, z = 6, result = 0.0000000000
x = 1, y = 3, z = 6, result = 0.3055555556
x = 2, y = 3, z = 6, result = 0.3518518519
x = 3, y = 3, z = 6, result = 0.3611111111
x = 4, y = 3, z = 6, result = 0.3518518519
x = 5, y = 3, z = 6, result = 0.3055555556
x = 6, y = 3, z = 6, result = 0.0000000000
x = 0, y = 4, z = 6, result = 0.0000000000
x = 1, y = 4, z = 6, result = 0.3009259259
x = 2, y = 4, z = 6, result = 0.3472222222
x = 3, y = 4, z = 6, result = 0.3518518519
x = 4, y = 4, z = 6, result = 0.3472222222
x = 5, y = 4, z = 6, result = 0.3009259259
x = 6, y = 4, z = 6, result = 0.0000000000
x = 0, y = 5, z = 6, result = 0.0000000000
x = 1, y = 5, z = 6, result = 0.2638888889
x = 2, y = 5, z = 6, result = 0.3009259259
x = 3, y = 5, z = 6, result = 0.3055555556
x = 4, y = 5, z = 6, result = 0.3009259259
x = 5, y = 5, z = 6, result = 0.2638888889
x = 6, y = 5, z = 6, result = 0.0000000000
x = 0, y = 6, z = 6, result = 0.5000000000
x = 1, y = 6, z = 6, result = 0.0000000000
x = 2, y = 6, z = 6, result = 0.0000000000
x = 3, y = 6, z = 6, result = 0.0000000000
x = 4, y = 6, z = 6, result = 0.0000000000
x = 5, y = 6, z = 6, result = 0.0000000000
x = 6, y = 6, z = 6, result = 0.5000000000
