1,216c1,216
< x = 0, y = 0, z = 0, result = 0.7638888889
< x = 1, y = 0, z = 0, result = 0.6388888889
< x = 2, y = 0, z = 0, result = 0.6064814815
< x = 3, y = 0, z = 0, result = 0.6064814815
< x = 4, y = 0, z = 0, result = 0.6388888889
< x = 5, y = 0, z = 0, result = 0.7638888889
< x = 0, y = 1, z = 0, result = 0.6388888889
< x = 1, y = 1, z = 0, result = 0.4583333333
< x = 2, y = 1, z = 0, result = 0.4120370370
< x = 3, y = 1, z = 0, result = 0.4120370370
< x = 4, y = 1, z = 0, result = 0.4583333333
< x = 5, y = 1, z = 0, result = 0.6388888889
< x = 0, y = 2, z = 0, result = 0.6064814815
< x = 1, y = 2, z = 0, result = 0.4120370370
< x = 2, y = 2, z = 0, result = 0.3657407407
< x = 3, y = 2, z = 0, result = 0.3657407407
< x = 4, y = 2, z = 0, result = 0.4120370370
< x = 5, y = 2, z = 0, result = 0.6064814815
< x = 0, y = 3, z = 0, result = 0.6064814815
< x = 1, y = 3, z = 0, result = 0.4120370370
< x = 2, y = 3, z = 0, result = 0.3657407407
< x = 3, y = 3, z = 0, result = 0.3703703704
< x = 4, y = 3, z = 0, result = 0.4120370370
< x = 5, y = 3, z = 0, result = 0.6064814815
< x = 0, y = 4, z = 0, result = 0.6388888889
< x = 1, y = 4, z = 0, result = 0.4583333333
< x = 2, y = 4, z = 0, result = 0.4120370370
< x = 3, y = 4, z = 0, result = 0.4120370370
< x = 4, y = 4, z = 0, result = 0.4583333333
< x = 5, y = 4, z = 0, result = 0.6388888889
< x = 0, y = 5, z = 0, result = 0.7638888889
< x = 1, y = 5, z = 0, result = 0.6388888889
< x = 2, y = 5, z = 0, result = 0.6064814815
< x = 3, y = 5, z = 0, result = 0.6064814815
< x = 4, y = 5, z = 0, result = 0.6388888889
< x = 5, y = 5, z = 0, result = 0.7638888889
< x = 0, y = 0, z = 1, result = 0.6388888889
< x = 1, y = 0, z = 1, result = 0.4583333333
< x = 2, y = 0, z = 1, result = 0.4120370370
< x = 3, y = 0, z = 1, result = 0.4120370370
< x = 4, y = 0, z = 1, result = 0.4583333333
< x = 5, y = 0, z = 1, result = 0.6388888889
< x = 0, y = 1, z = 1, result = 0.4583333333
< x = 1, y = 1, z = 1, result = 0.1944444444
< x = 2, y = 1, z = 1, result = 0.1342592593
< x = 3, y = 1, z = 1, result = 0.1342592593
< x = 4, y = 1, z = 1, result = 0.1944444444
< x = 5, y = 1, z = 1, result = 0.4583333333
< x = 0, y = 2, z = 1, result = 0.4120370370
< x = 1, y = 2, z = 1, result = 0.1342592593
< x = 2, y = 2, z = 1, result = 0.0740740741
